classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.00      0.00      0.00        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.00      0.00      0.00       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.16      1.00      0.28        95
          Oak       0.00      0.00      0.00       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.16       589
    macro avg       0.01      0.09      0.03       589
 weighted avg       0.03      0.16      0.04       589
classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.16      0.90      0.28        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.27      0.35      0.30       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.00      0.00      0.00        95
          Oak       0.00      0.00      0.00       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.19       589
    macro avg       0.04      0.11      0.05       589
 weighted avg       0.07      0.19      0.09       589
classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.00      0.00      0.00        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.00      0.00      0.00       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.00      0.00      0.00        95
          Oak       0.18      1.00      0.31       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.18       589
    macro avg       0.02      0.09      0.03       589
 weighted avg       0.03      0.18      0.05       589
classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.14      1.00      0.25        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.00      0.00      0.00       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.00      0.00      0.00        95
          Oak       0.00      0.00      0.00       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.14       589
    macro avg       0.01      0.09      0.02       589
 weighted avg       0.02      0.14      0.03       589
classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.00      0.00      0.00        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.00      0.00      0.00       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.00      0.00      0.00        95
          Oak       0.18      1.00      0.31       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.18       589
    macro avg       0.02      0.09      0.03       589
 weighted avg       0.03      0.18      0.05       589
classification report               precision    recall  f1-score   support

        Alder       0.00      0.00      0.00        16
        Beech       0.00      0.00      0.00         8
        Birch       0.15      0.07      0.10        83
     Chestnut       0.00      0.00      0.00        63
 GinkgoBiloba       0.00      0.00      0.00        21
     Hornbeam       0.18      0.92      0.31       100
HorseChestnut       0.00      0.00      0.00        38
       Linden       0.03      0.01      0.01        95
          Oak       0.00      0.00      0.00       106
OrientalPlane       0.00      0.00      0.00        48
         Pine       0.00      0.00      0.00        11

     accuracy                           0.17       589
    macro avg       0.03      0.09      0.04       589
 weighted avg       0.06      0.17      0.07       589
classification report              precision    recall  f1-score   support

           1       0.60      0.38      0.46        16
           2       1.00      0.75      0.86         8
           3       0.57      0.72      0.64        83
           4       0.57      0.87      0.69        63
           5       0.95      0.86      0.90        21
           6       0.55      0.84      0.66       100
           7       0.80      0.11      0.19        38
           8       0.84      0.49      0.62        95
           9       0.56      0.38      0.45       106
          10       0.55      0.77      0.64        48
          11       0.00      0.00      0.00        11

    accuracy                           0.61       589
   macro avg       0.64      0.56      0.56       589
weighted avg       0.63      0.61      0.58       589
classification report              precision    recall  f1-score   support

           1       0.60      0.38      0.46        16
           2       1.00      0.75      0.86         8
           3       0.57      0.72      0.64        83
           4       0.57      0.87      0.69        63
           5       0.95      0.86      0.90        21
           6       0.55      0.84      0.66       100
           7       0.80      0.11      0.19        38
           8       0.84      0.49      0.62        95
           9       0.56      0.38      0.45       106
          10       0.55      0.77      0.64        48
          11       0.00      0.00      0.00        11

    accuracy                           0.61       589
   macro avg       0.64      0.56      0.56       589
weighted avg       0.63      0.61      0.58       589
classification report              precision    recall  f1-score   support

           1       0.60      0.38      0.46        16
           2       1.00      0.75      0.86         8
           3       0.57      0.72      0.64        83
           4       0.57      0.87      0.69        63
           5       0.95      0.86      0.90        21
           6       0.55      0.84      0.66       100
           7       0.80      0.11      0.19        38
           8       0.84      0.49      0.62        95
           9       0.56      0.38      0.45       106
          10       0.55      0.77      0.64        48
          11       0.00      0.00      0.00        11

    accuracy                           0.61       589
   macro avg       0.64      0.56      0.56       589
weighted avg       0.63      0.61      0.58       589
classification report              precision    recall  f1-score   support

           1       0.55      0.38      0.44        16
           2       1.00      0.75      0.86         8
           3       0.62      0.53      0.57        83
           4       0.76      0.75      0.75        63
           5       0.91      0.95      0.93        21
           6       0.49      0.84      0.62       100
           7       0.56      0.24      0.33        38
           8       0.67      0.63      0.65        95
           9       0.64      0.30      0.41       106
          10       0.44      0.79      0.56        48
          11       0.67      0.18      0.29        11

    accuracy                           0.59       589
   macro avg       0.66      0.58      0.58       589
weighted avg       0.62      0.59      0.57       589
classification report              precision    recall  f1-score   support

           1       0.67      0.38      0.48        16
           2       0.88      0.88      0.88         8
           3       0.76      0.16      0.26        83
           4       0.69      0.84      0.76        63
           5       0.82      0.86      0.84        21
           6       0.63      0.69      0.66       100
           7       0.69      0.29      0.41        38
           8       0.88      0.54      0.67        95
           9       0.43      0.94      0.59       106
          10       0.76      0.58      0.66        48
          11       0.00      0.00      0.00        11

    accuracy                           0.60       589
   macro avg       0.65      0.56      0.56       589
weighted avg       0.67      0.60      0.58       589
classification report              precision    recall  f1-score   support

           1       0.71      0.31      0.43        16
           2       1.00      0.75      0.86         8
           3       0.57      0.81      0.67        83
           4       0.59      0.86      0.70        63
           5       0.94      0.81      0.87        21
           6       0.80      0.43      0.56       100
           7       0.45      0.53      0.49        38
           8       0.66      0.78      0.71        95
           9       0.47      0.51      0.49       106
          10       0.96      0.48      0.64        48
          11       1.00      0.09      0.17        11

    accuracy                           0.62       589
   macro avg       0.74      0.58      0.60       589
weighted avg       0.66      0.62      0.61       589
classification report              precision    recall  f1-score   support

           1       0.83      0.31      0.45        16
           2       1.00      0.75      0.86         8
           3       0.68      0.48      0.56        83
           4       0.76      0.76      0.76        63
           5       0.95      0.86      0.90        21
           6       0.49      0.91      0.64       100
           7       0.62      0.47      0.54        38
